id,loanAmnt,term,interestRate,installment,grade,subGrade,employmentTitle,employmentLength,homeOwnership,annualIncome,verificationStatus,issueDate,isDefault,purpose,postCode,regionCode,dti,delinquency_2years,ficoRangeLow,ficoRangeHigh,openAcc,pubRec,pubRecBankruptcies,revolBal,revolUtil,totalAcc,initialListStatus,applicationType,earliesCreditLine,title,policyCode,n0,n1,n2,n3,n4,n5,n6,n7,n8,n9,n10,n11,n12,n13,n14
534853,12000.0,3,9.58,384.85,B,B1,139268.0,1 year,0,47592.0,1,2018-07-01,0,4,152.0,14,19.09,0.0,660.0,664.0,7.0,1.0,1.0,3683.0,23.6,16.0,1,0,Mar-2007,4.0,1.0,0.0,3.0,4.0,4.0,4.0,4.0,8.0,5.0,6.0,4.0,7.0,0.0,0.0,0.0,3.0
261908,28000.0,5,19.99,741.68,E,E1,10270.0,10+ years,1,75000.0,0,2016-03-01,1,0,377.0,11,29.89,1.0,680.0,684.0,11.0,0.0,0.0,19968.0,53.4,19.0,0,0,Jan-2006,0.0,1.0,0.0,3.0,4.0,4.0,6.0,9.0,6.0,9.0,12.0,4.0,11.0,0.0,0.0,0.0,2.0
528781,18000.0,5,12.29,403.05,C,C1,31627.0,5 years,0,121000.0,0,2015-10-01,1,4,512.0,21,21.71,0.0,675.0,679.0,14.0,0.0,0.0,21239.0,92.7,47.0,0,0,Mar-1998,4.0,1.0,2.0,4.0,6.0,6.0,4.0,12.0,19.0,7.0,22.0,6.0,14.0,0.0,0.0,0.0,4.0
233132,10000.0,3,8.99,317.96,B,B1,1268.0,2 years,1,63500.0,0,2016-07-01,1,0,236.0,7,11.25,0.0,700.0,704.0,5.0,0.0,0.0,10757.0,54.1,8.0,0,0,Aug-2011,0.0,1.0,0.0,2.0,3.0,3.0,2.0,2.0,3.0,4.0,5.0,3.0,5.0,0.0,0.0,0.0,2.0
391768,28000.0,3,7.12,866.1,A,A3,141455.0,3 years,0,305000.0,1,2014-07-01,0,0,116.0,14,20.49,0.0,750.0,754.0,20.0,0.0,0.0,116219.0,38.0,47.0,0,0,Jan-1988,0.0,1.0,0.0,4.0,8.0,8.0,8.0,16.0,7.0,13.0,27.0,8.0,20.0,0.0,0.0,0.0,3.0
616888,4000.0,3,13.67,136.08,C,C3,54.0,,2,45000.0,1,2016-05-01,0,0,400.0,17,18.83,0.0,665.0,669.0,7.0,0.0,0.0,8713.0,68.1,36.0,1,0,Dec-1978,0.0,1.0,0.0,2.0,3.0,3.0,2.0,16.0,3.0,5.0,28.0,3.0,7.0,0.0,0.0,0.0,1.0
531640,30000.0,5,28.99,952.08,G,G5,32.0,5 years,1,100000.0,2,2015-07-01,1,9,32.0,21,14.92,0.0,745.0,749.0,4.0,0.0,0.0,457.0,65.3,15.0,0,0,Apr-1990,10.0,1.0,0.0,0.0,1.0,1.0,0.0,2.0,5.0,1.0,6.0,1.0,4.0,0.0,0.0,0.0,1.0
738308,12000.0,3,15.99,421.83,C,C5,4234.0,5 years,1,45000.0,2,2017-01-01,1,4,451.0,36,20.43,0.0,670.0,674.0,8.0,0.0,0.0,10662.0,91.1,12.0,0,0,Jun-2012,4.0,1.0,1.0,4.0,4.0,4.0,4.0,6.0,4.0,4.0,7.0,4.0,8.0,0.0,0.0,0.0,2.0
350866,3250.0,3,13.49,110.28,C,C2,228272.0,4 years,1,20000.0,0,2011-07-01,1,0,150.0,30,22.62,0.0,675.0,679.0,11.0,1.0,1.0,13013.0,84.5,25.0,1,0,Mar-1996,193.0,1.0,,,,,,,,,,,,,,,
192620,20000.0,5,9.93,424.26,B,B2,6769.0,1 year,1,93600.0,0,2017-06-01,0,0,33.0,22,24.09,0.0,730.0,734.0,18.0,2.0,0.0,11501.0,16.8,28.0,0,0,Oct-1984,0.0,1.0,0.0,7.0,8.0,8.0,12.0,14.0,5.0,16.0,21.0,8.0,18.0,0.0,0.0,0.0,3.0
313638,10400.0,5,19.99,275.48,D,D4,73179.0,4 years,1,69376.0,2,2016-07-01,0,0,75.0,33,16.8,0.0,695.0,699.0,17.0,0.0,0.0,691.0,1.2,20.0,0,0,Feb-2012,0.0,1.0,0.0,3.0,3.0,3.0,14.0,14.0,5.0,15.0,15.0,3.0,17.0,0.0,0.0,0.0,9.0
490221,35000.0,3,29.99,1485.62,F,F3,249675.0,3 years,0,127000.0,2,2017-03-01,1,5,108.0,21,22.29,2.0,670.0,674.0,11.0,0.0,0.0,86669.0,78.2,18.0,1,0,Feb-1996,6.0,1.0,0.0,5.0,6.0,6.0,6.0,9.0,5.0,8.0,12.0,6.0,11.0,0.0,0.0,0.0,2.0
31114,10000.0,3,6.49,306.45,A,A2,320.0,3 years,0,85000.0,0,2016-04-01,0,2,479.0,8,4.5,1.0,720.0,724.0,14.0,0.0,0.0,1955.0,4.2,32.0,1,0,Aug-2002,5.0,1.0,0.0,2.0,3.0,3.0,6.0,13.0,11.0,12.0,20.0,3.0,14.0,0.0,0.0,0.0,6.0
449409,16000.0,3,13.18,540.5,C,C3,14876.0,5 years,0,70000.0,1,2015-12-01,1,0,661.0,34,22.48,0.0,680.0,684.0,11.0,0.0,0.0,5778.0,67.2,24.0,0,0,Jul-1999,0.0,1.0,4.0,1.0,2.0,2.0,2.0,3.0,17.0,3.0,5.0,2.0,11.0,0.0,0.0,0.0,2.0
472518,5000.0,3,9.67,160.57,B,B1,307.0,5 years,0,57000.0,2,2013-11-01,0,0,253.0,21,7.81,0.0,665.0,669.0,12.0,0.0,0.0,6159.0,25.5,39.0,1,0,Jan-1994,70.0,1.0,5.0,3.0,6.0,6.0,3.0,16.0,7.0,8.0,26.0,6.0,12.0,0.0,0.0,0.0,3.0
306515,23100.0,3,12.99,778.22,C,C2,54.0,,0,55000.0,2,2016-03-01,0,0,25.0,13,26.69,2.0,675.0,679.0,22.0,0.0,0.0,8374.0,21.6,43.0,0,0,Jul-1994,0.0,1.0,1.0,4.0,12.0,12.0,6.0,17.0,4.0,20.0,36.0,12.0,22.0,0.0,0.0,0.0,2.0
387459,5000.0,3,7.89,156.43,A,A5,1086.0,3 years,1,102000.0,1,2015-05-01,0,3,136.0,8,15.33,0.0,705.0,709.0,7.0,0.0,0.0,11569.0,74.6,31.0,0,0,Jul-2002,3.0,1.0,0.0,1.0,1.0,1.0,1.0,5.0,16.0,3.0,14.0,1.0,7.0,0.0,0.0,0.0,1.0
502933,40000.0,3,6.19,1220.33,A,A2,3447.0,10+ years,0,350000.0,2,2018-07-01,0,0,390.0,13,3.97,0.0,715.0,719.0,8.0,0.0,0.0,27678.0,37.7,17.0,0,0,Nov-1996,0.0,1.0,0.0,5.0,6.0,6.0,6.0,10.0,2.0,7.0,14.0,6.0,8.0,0.0,0.0,0.0,2.0
326567,15000.0,5,25.82,447.51,E,E4,122363.0,10+ years,0,32000.0,1,2017-07-01,0,4,31.0,2,15.19,0.0,710.0,714.0,10.0,0.0,0.0,11657.0,66.6,14.0,0,0,Sep-2006,4.0,1.0,0.0,4.0,7.0,7.0,4.0,4.0,4.0,8.0,8.0,7.0,10.0,0.0,0.0,0.0,0.0
189675,15000.0,3,12.62,502.67,C,C1,38.0,10+ years,1,85000.0,1,2017-12-01,0,0,548.0,36,19.51,0.0,700.0,704.0,15.0,1.0,1.0,6585.0,26.1,18.0,0,0,Feb-2007,0.0,1.0,0.0,5.0,10.0,10.0,7.0,7.0,2.0,13.0,16.0,10.0,15.0,0.0,0.0,0.0,5.0
494280,7125.0,3,11.55,235.13,B,B3,276523.0,10+ years,0,35000.0,0,2013-08-01,0,0,372.0,30,11.73,0.0,680.0,684.0,10.0,0.0,0.0,11595.0,51.1,16.0,0,0,Nov-1995,70.0,1.0,0.0,4.0,8.0,8.0,5.0,9.0,1.0,10.0,15.0,8.0,10.0,0.0,0.0,0.0,1.0
732188,25150.0,5,18.99,652.27,D,D4,13773.0,< 1 year,1,70000.0,2,2016-03-01,1,0,459.0,8,27.06,2.0,705.0,709.0,12.0,0.0,0.0,15706.0,23.4,12.0,0,0,Oct-1994,0.0,1.0,0.0,4.0,4.0,4.0,8.0,8.0,3.0,8.0,8.0,4.0,12.0,0.0,0.0,0.0,1.0
426874,15000.0,3,13.67,510.27,C,C3,126125.0,5 years,1,70000.0,1,2016-06-01,1,0,109.0,21,7.15,0.0,675.0,679.0,14.0,0.0,0.0,2814.0,17.0,17.0,0,0,Jul-1992,0.0,1.0,1.0,3.0,5.0,5.0,6.0,7.0,2.0,14.0,15.0,5.0,14.0,0.0,0.0,0.0,7.0
307106,12575.0,5,25.57,373.31,F,F5,8295.0,7 years,1,35000.0,1,2015-01-01,1,0,318.0,14,30.11,0.0,720.0,724.0,18.0,0.0,0.0,12550.0,25.8,44.0,1,0,Sep-2007,0.0,1.0,0.0,5.0,6.0,6.0,9.0,15.0,15.0,17.0,28.0,6.0,18.0,0.0,0.0,0.0,4.0
753583,6450.0,3,18.99,236.4,D,D3,279.0,2 years,1,19000.0,2,2016-11-01,1,0,80.0,21,17.02,0.0,670.0,674.0,11.0,0.0,0.0,4696.0,30.3,16.0,1,0,Apr-2002,0.0,1.0,1.0,4.0,9.0,9.0,4.0,5.0,2.0,11.0,14.0,9.0,11.0,0.0,0.0,0.0,0.0
267337,7225.0,3,25.99,291.07,F,F5,3042.0,10+ years,0,65000.0,2,2015-11-01,1,0,314.0,0,19.85,1.0,670.0,674.0,12.0,0.0,0.0,6059.0,63.0,35.0,0,0,Feb-2003,0.0,1.0,1.0,4.0,8.0,8.0,6.0,10.0,10.0,8.0,21.0,6.0,12.0,,0.0,1.0,9.0
643693,1000.0,3,16.29,35.31,D,D1,540.0,2 years,0,108976.0,1,2016-04-01,1,2,223.0,12,14.52,0.0,680.0,684.0,16.0,0.0,0.0,24044.0,81.0,31.0,1,0,May-2004,5.0,1.0,0.0,3.0,6.0,6.0,3.0,7.0,19.0,7.0,12.0,6.0,16.0,0.0,0.0,0.0,4.0
565992,18075.0,5,25.89,540.0,G,G3,3185.0,9 years,0,64000.0,2,2014-08-01,0,0,72.0,10,10.28,0.0,675.0,679.0,17.0,0.0,0.0,19299.0,53.5,27.0,0,0,Jun-2006,0.0,1.0,1.0,7.0,10.0,10.0,8.0,12.0,2.0,17.0,24.0,10.0,17.0,0.0,0.0,0.0,4.0
655366,6800.0,3,14.16,232.94,C,C2,85342.0,10+ years,0,42600.0,1,2014-02-01,0,0,291.0,23,27.15,0.0,660.0,664.0,15.0,1.0,1.0,8460.0,36.8,37.0,0,0,Jul-1999,0.0,1.0,1.0,3.0,8.0,8.0,3.0,12.0,13.0,10.0,22.0,8.0,14.0,0.0,0.0,0.0,6.0
108404,18000.0,5,13.66,415.67,C,C3,4273.0,< 1 year,2,45000.0,2,2014-11-01,0,4,312.0,12,23.47,0.0,680.0,684.0,13.0,0.0,0.0,15308.0,45.2,26.0,0,0,Apr-2004,4.0,1.0,0.0,5.0,6.0,6.0,6.0,9.0,11.0,7.0,13.0,6.0,13.0,0.0,0.0,0.0,5.0
545797,22000.0,3,9.99,709.78,B,B3,9.0,1 year,0,110000.0,1,2015-07-01,1,4,62.0,13,7.45,0.0,665.0,669.0,10.0,0.0,0.0,25981.0,83.5,27.0,1,0,Jun-2000,4.0,1.0,0.0,4.0,5.0,5.0,4.0,8.0,13.0,5.0,13.0,5.0,10.0,0.0,0.0,0.0,1.0
745516,30000.0,3,16.99,1069.44,D,D1,373741.0,10+ years,0,115000.0,0,2016-11-01,0,2,259.0,19,18.29,3.0,660.0,664.0,16.0,0.0,0.0,15253.0,76.6,22.0,0,0,Nov-2001,5.0,1.0,3.0,5.0,9.0,9.0,6.0,7.0,6.0,12.0,15.0,9.0,16.0,0.0,0.0,3.0,3.0
79044,35000.0,5,12.29,783.7,C,C1,587.0,2 years,0,199000.0,2,2015-05-01,0,4,118.0,20,12.23,0.0,725.0,729.0,22.0,0.0,0.0,39491.0,76.2,32.0,1,0,Nov-1998,4.0,1.0,0.0,3.0,3.0,3.0,4.0,7.0,19.0,4.0,9.0,3.0,22.0,0.0,0.0,0.0,2.0
588008,3950.0,3,12.39,131.94,C,C1,55.0,4 years,0,148500.0,2,2015-01-01,0,4,149.0,22,31.82,0.0,660.0,664.0,22.0,0.0,0.0,25122.0,95.5,35.0,1,0,Jan-1996,4.0,1.0,0.0,9.0,11.0,11.0,9.0,12.0,16.0,12.0,17.0,11.0,22.0,0.0,0.0,0.0,3.0
52078,5000.0,3,12.59,167.49,C,C2,22720.0,3 years,0,55000.0,1,2015-11-01,0,4,31.0,2,17.46,0.0,665.0,669.0,18.0,2.0,2.0,10361.0,51.3,30.0,0,0,May-1997,4.0,1.0,1.0,5.0,15.0,15.0,5.0,9.0,3.0,16.0,23.0,15.0,18.0,0.0,0.0,0.0,2.0
659853,18400.0,3,12.99,619.89,C,C2,17695.0,6 years,1,46000.0,2,2016-02-01,1,0,661.0,34,28.54,0.0,670.0,674.0,11.0,1.0,0.0,6244.0,52.0,30.0,0,0,Sep-2002,0.0,1.0,4.0,3.0,3.0,3.0,3.0,7.0,20.0,3.0,10.0,3.0,11.0,0.0,0.0,0.0,1.0
722431,11000.0,3,14.33,377.72,C,C5,16448.0,3 years,1,27500.0,2,2015-11-01,0,0,397.0,35,25.05,0.0,670.0,674.0,12.0,0.0,0.0,16532.0,60.8,14.0,1,0,Nov-2001,0.0,1.0,0.0,5.0,5.0,5.0,7.0,7.0,2.0,11.0,12.0,5.0,12.0,0.0,0.0,0.0,3.0
593450,28000.0,3,17.57,1006.24,D,D4,199668.0,1 year,1,95000.0,2,2014-05-01,1,0,17.0,13,13.84,0.0,660.0,664.0,9.0,0.0,0.0,10586.0,67.4,18.0,0,0,Sep-2000,0.0,1.0,0.0,4.0,5.0,5.0,4.0,7.0,5.0,7.0,12.0,5.0,9.0,0.0,0.0,0.0,4.0
696895,8000.0,3,6.89,246.62,A,A3,22091.0,5 years,1,45000.0,1,2015-10-01,0,4,141.0,13,14.27,0.0,700.0,704.0,17.0,0.0,0.0,12826.0,25.7,33.0,1,0,Mar-2001,4.0,1.0,0.0,3.0,13.0,13.0,3.0,5.0,4.0,17.0,29.0,14.0,17.0,0.0,0.0,0.0,1.0
290698,5000.0,3,16.29,176.51,D,D2,198298.0,8 years,0,93000.0,1,2014-06-01,1,5,32.0,21,7.33,0.0,695.0,699.0,11.0,0.0,0.0,1411.0,12.3,26.0,1,0,Dec-1982,6.0,1.0,2.0,2.0,2.0,2.0,2.0,7.0,6.0,9.0,17.0,2.0,11.0,0.0,0.0,0.0,3.0
223307,35000.0,3,13.98,1195.88,C,C1,320.0,< 1 year,1,93000.0,2,2014-01-01,1,0,277.0,8,17.91,0.0,690.0,694.0,19.0,0.0,0.0,35953.0,45.9,34.0,1,0,Aug-2005,0.0,1.0,0.0,3.0,5.0,5.0,5.0,7.0,19.0,11.0,14.0,5.0,19.0,0.0,0.0,0.0,6.0
660978,14125.0,5,22.4,393.34,E,E3,720.0,9 years,1,38400.0,1,2014-01-01,1,4,86.0,35,29.66,0.0,680.0,684.0,12.0,0.0,0.0,22131.0,62.5,18.0,1,0,May-2004,4.0,1.0,0.0,4.0,9.0,9.0,4.0,4.0,3.0,11.0,15.0,9.0,12.0,0.0,0.0,0.0,0.0
767710,26725.0,5,9.99,567.7,B,B3,1547.0,2 years,0,77000.0,2,2015-04-01,1,0,31.0,2,12.08,0.0,720.0,724.0,10.0,0.0,0.0,16761.0,34.6,27.0,1,0,Jun-1991,0.0,1.0,0.0,7.0,7.0,7.0,7.0,15.0,3.0,7.0,15.0,7.0,10.0,0.0,0.0,0.0,3.0
665871,4900.0,3,16.02,172.32,C,C5,140123.0,< 1 year,1,24500.0,1,2017-06-01,0,5,500.0,27,24.25,2.0,675.0,679.0,5.0,0.0,0.0,521.0,22.7,10.0,1,0,Oct-2012,6.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,7.0,2.0,3.0,2.0,5.0,0.0,0.0,2.0,2.0
656632,16000.0,5,14.08,372.96,C,C3,118.0,10+ years,0,115000.0,0,2017-07-01,0,0,380.0,26,11.79,0.0,750.0,754.0,13.0,0.0,0.0,14895.0,27.1,57.0,0,0,Apr-2005,0.0,1.0,0.0,2.0,3.0,3.0,7.0,13.0,32.0,9.0,22.0,3.0,13.0,0.0,0.0,0.0,3.0
706288,16000.0,3,16.99,570.37,D,D1,26494.0,3 years,1,176000.0,0,2016-10-01,1,4,2.0,2,30.83,0.0,685.0,689.0,15.0,0.0,0.0,64985.0,86.2,28.0,1,0,Aug-2004,4.0,1.0,0.0,7.0,9.0,9.0,8.0,9.0,14.0,10.0,13.0,9.0,15.0,0.0,0.0,0.0,1.0
113768,30000.0,3,19.52,1107.59,E,E2,153.0,1 year,1,200000.0,1,2014-09-01,1,4,38.0,21,6.96,0.0,705.0,709.0,22.0,0.0,0.0,24376.0,37.2,28.0,0,0,Feb-1995,4.0,1.0,0.0,5.0,13.0,13.0,7.0,10.0,2.0,21.0,26.0,13.0,22.0,0.0,0.0,0.0,9.0
465947,11200.0,3,12.99,377.32,C,C2,4535.0,< 1 year,2,68000.0,1,2016-03-01,0,0,371.0,7,11.03,0.0,675.0,679.0,13.0,0.0,0.0,5656.0,30.1,56.0,1,0,Apr-2004,0.0,1.0,0.0,2.0,4.0,4.0,4.0,23.0,10.0,9.0,39.0,4.0,13.0,0.0,0.0,0.0,4.0
712476,15000.0,3,11.39,493.86,B,B3,373517.0,2 years,1,58000.0,0,2016-11-01,1,0,171.0,8,18.35,0.0,715.0,719.0,16.0,0.0,0.0,11643.0,32.7,17.0,0,0,Sep-2005,0.0,1.0,0.0,5.0,7.0,7.0,8.0,8.0,2.0,15.0,15.0,7.0,16.0,0.0,0.0,0.0,3.0
238042,11900.0,5,13.66,274.8,C,C3,419.0,10+ years,1,55000.0,2,2014-11-01,1,0,235.0,8,29.22,0.0,685.0,689.0,16.0,0.0,0.0,4905.0,26.5,25.0,0,0,Mar-2004,0.0,1.0,1.0,4.0,7.0,7.0,6.0,9.0,6.0,13.0,18.0,7.0,16.0,0.0,0.0,0.0,5.0
471968,15000.0,3,12.69,503.18,C,C2,1335.0,4 years,1,50000.0,0,2015-05-01,0,4,84.0,19,33.17,1.0,660.0,664.0,14.0,0.0,0.0,16602.0,93.3,27.0,1,0,Aug-2003,4.0,1.0,0.0,2.0,2.0,2.0,2.0,3.0,24.0,2.0,3.0,2.0,14.0,0.0,0.0,0.0,0.0
168864,17500.0,3,18.25,634.87,D,D3,412.0,10+ years,2,39500.0,2,2013-12-01,0,4,707.0,11,27.29,0.0,665.0,669.0,17.0,0.0,0.0,24677.0,67.6,20.0,1,0,Apr-1987,373.0,1.0,0.0,6.0,16.0,16.0,6.0,7.0,1.0,17.0,19.0,16.0,17.0,0.0,0.0,0.0,3.0
797931,7000.0,3,12.99,235.83,C,C2,19.0,< 1 year,1,65000.0,1,2016-05-01,1,0,51.0,13,9.56,1.0,705.0,709.0,11.0,0.0,0.0,2296.0,13.3,16.0,0,0,Apr-2005,0.0,1.0,0.0,5.0,6.0,6.0,7.0,8.0,4.0,10.0,12.0,6.0,11.0,0.0,0.0,0.0,5.0
296627,20000.0,5,10.49,429.78,B,B3,45058.0,10+ years,0,85000.0,0,2016-07-01,1,0,147.0,26,13.37,0.0,715.0,719.0,5.0,0.0,0.0,11579.0,62.6,19.0,0,0,Oct-1998,0.0,1.0,1.0,2.0,2.0,2.0,2.0,4.0,7.0,2.0,8.0,2.0,5.0,0.0,0.0,0.0,0.0
6663,15000.0,3,12.85,504.33,B,B4,19125.0,10+ years,1,64000.0,1,2014-02-01,0,4,194.0,38,23.48,0.0,675.0,679.0,12.0,0.0,0.0,12613.0,57.1,30.0,1,0,Jan-2003,4.0,1.0,0.0,3.0,8.0,8.0,4.0,9.0,8.0,11.0,17.0,8.0,11.0,0.0,0.0,0.0,2.0
268867,10625.0,5,25.8,316.87,G,G1,193411.0,4 years,0,62000.0,2,2014-07-01,1,0,535.0,17,12.93,0.0,660.0,664.0,11.0,1.0,1.0,7253.0,38.2,26.0,0,0,Jan-2003,0.0,1.0,0.0,2.0,7.0,7.0,2.0,7.0,7.0,9.0,15.0,7.0,11.0,0.0,0.0,0.0,5.0
96354,6000.0,3,18.75,219.18,D,D3,54.0,,1,60000.0,1,2013-06-01,0,4,141.0,13,4.96,0.0,685.0,689.0,15.0,0.0,0.0,6482.0,37.9,29.0,1,0,Jul-1998,5340.0,1.0,0.0,6.0,9.0,9.0,8.0,15.0,6.0,13.0,20.0,9.0,15.0,0.0,0.0,0.0,4.0
